,rn,iteration
424,"('R01577', 'forward')",1
425,"('R00995', 'reverse')",1
426,"('R05768', 'forward')",1
427,"('R02278', 'reverse')",1
428,"('R00522', 'reverse')",1
429,"('R00441', 'reverse')",1
430,"('R06428', 'forward')",1
431,"('R07456', 'reverse')",1
432,"('R03693', 'reverse')",1
433,"('R02714', 'forward')",1
434,"('R02321', 'reverse')",1
435,"('R00839', 'forward')",1
436,"('R02485', 'reverse')",1
437,"('R02109', 'reverse')",1
438,"('R00952', 'forward')",1
439,"('R00956', 'reverse')",1
440,"('R05636', 'forward')",1
441,"('R10060', 'forward')",1
442,"('R01541', 'reverse')",1
443,"('R00463', 'forward')",1
444,"('R00947', 'reverse')",1
445,"('R02187', 'forward')",1
446,"('R06531', 'reverse')",1
447,"('R10266', 'forward')",1
448,"('R00132', 'forward')",1
449,"('R00173', 'forward')",1
450,"('R10486', 'forward')",1
451,"('R01482', 'forward')",1
452,"('R07274', 'forward')",1
453,"('R07393', 'reverse')",1
454,"('R00008', 'reverse')",1
455,"('R08359', 'reverse')",1
456,"('R02096', 'reverse')",1
457,"('R01068', 'forward')",1
458,"('R06171', 'forward')",1
459,"('R08612', 'reverse')",1
460,"('R00751', 'reverse')",1
461,"('R09650', 'reverse')",1
462,"('R04053', 'reverse')",1
463,"('R02732', 'forward')",1
464,"('R03634', 'forward')",1
465,"('R04420', 'forward')",1
466,"('R09772', 'forward')",1
467,"('R09009', 'forward')",1
468,"('R03256', 'reverse')",1
469,"('R00801', 'forward')",1
470,"('R02927', 'reverse')",1
471,"('R01878', 'reverse')",1
472,"('R02284', 'forward')",1
473,"('R01968', 'reverse')",1
474,"('R00126', 'reverse')",1
475,"('R01092', 'forward')",1
476,"('R02296', 'forward')",1
477,"('R00254', 'reverse')",1
478,"('R00256', 'reverse')",1
479,"('R00293', 'forward')",1
480,"('R05563', 'reverse')",1
481,"('R00949', 'forward')",1
482,"('R00239', 'reverse')",1
483,"('R03321', 'reverse')",1
484,"('R05763', 'reverse')",1
485,"('R00431', 'forward')",1
486,"('R02269', 'forward')",1
487,"('R10002', 'reverse')",1
488,"('R07125', 'forward')",1
489,"('R05380', 'reverse')",1
490,"('R02748', 'forward')",1
491,"('R09946', 'reverse')",1
492,"('R01526', 'forward')",1
493,"('R01635', 'reverse')",1
494,"('R00191', 'reverse')",1
495,"('R10832', 'reverse')",1
496,"('R05138', 'forward')",1
497,"('R10691', 'forward')",1
498,"('R01059', 'forward')",1
499,"('R00771', 'forward')",1
500,"('R08615', 'forward')",1
501,"('R00665', 'forward')",1
502,"('R03238', 'reverse')",1
503,"('R01140', 'forward')",1
504,"('R00876', 'reverse')",1
505,"('R01880', 'reverse')",1
506,"('R02108', 'reverse')",1
507,"('R02751', 'forward')",1
508,"('R01819', 'reverse')",1
509,"('R05166', 'reverse')",1
510,"('R01965', 'forward')",1
511,"('R06869', 'reverse')",1
512,"('R01555', 'reverse')",1
513,"('R02327', 'forward')",1
514,"('R02280', 'reverse')",1
515,"('R07285', 'reverse')",1
516,"('R00479', 'forward')",1
517,"('R00554', 'reverse')",1
518,"('R00437', 'forward')",1
519,"('R02325', 'reverse')",1
520,"('R02522', 'forward')",1
521,"('R00965', 'reverse')",1
522,"('R00888', 'forward')",1
523,"('R00291', 'forward')",1
524,"('R09648', 'reverse')",1
525,"('R10818', 'forward')",1
526,"('R02038', 'reverse')",1
527,"('R00324', 'forward')",1
528,"('R00028', 'forward')",1
529,"('R07256', 'forward')",1
530,"('R06437', 'forward')",1
531,"('R02730', 'forward')",1
532,"('R00269', 'forward')",1
533,"('R03920', 'reverse')",1
534,"('R00026', 'forward')",1
535,"('R01440', 'reverse')",1
536,"('R00659', 'reverse')",1
537,"('R01961', 'reverse')",1
538,"('R07244', 'forward')",1
539,"('R03260', 'forward')",1
540,"('R00338', 'reverse')",1
541,"('R02888', 'forward')",1
542,"('R04858', 'forward')",1
543,"('R08967', 'forward')",1
544,"('R03546', 'forward')",1
545,"('R05816', 'forward')",1
546,"('R00200', 'reverse')",1
547,"('R03254', 'forward')",1
548,"('R01811', 'forward')",1
549,"('R02371', 'forward')",1
550,"('R00341', 'reverse')",1
