rxn	iter
('R01810', 'reverse')	1
('R02601', 'forward')	1
('R08359', 'forward')	1
('R03696', 'reverse')	1
('R00866', 'forward')	1
('R00803', 'reverse')	1
('R00568', 'reverse')	1
('R08197', 'reverse')	1
('R07629', 'reverse')	1
('R00153', 'forward')	1
('R00720', 'forward')	1
('R07245', 'forward')	1
('R05645', 'reverse')	1
('R00723', 'forward')	1
('R10183', 'forward')	1
('R09668', 'reverse')	1
('R02327', 'reverse')	1
('R02740', 'reverse')	1
('R04436', 'reverse')	1
('R00726', 'reverse')	1
('R01126', 'forward')	1
('R02372', 'forward')	1
('R01580', 'forward')	1
('R07919', 'forward')	1
('R00006', 'reverse')	1
('R05767', 'forward')	1
('R05763', 'forward')	1
('R07583', 'reverse')	1
('R01523', 'forward')	1
('R05816', 'reverse')	1
('R01408', 'reverse')	1
('R01138', 'forward')	1
('R10443', 'forward')	1
('R00806', 'forward')	1
('R00668', 'reverse')	1
('R09660', 'reverse')	1
('R01664', 'reverse')	1
('R02737', 'reverse')	1
('R07282', 'forward')	1
('R00430', 'reverse')	1
('R01530', 'reverse')	1
('R00156', 'reverse')	1
('R01483', 'reverse')	1
('R09538', 'reverse')	1
('R00951', 'forward')	1
('R00574', 'forward')	1
('R01682', 'reverse')	1
('R04168', 'reverse')	1
('R08353', 'reverse')	1
('R01012', 'forward')	1
('R00822', 'forward')	1
('R00480', 'reverse')	1
('R01540', 'reverse')	1
('R10817', 'reverse')	1
('R10677', 'reverse')	1
('R09086', 'forward')	1
('R00435', 'forward')	1
('R01824', 'forward')	1
('R02297', 'reverse')	1
('R00397', 'forward')	1
('R06604', 'reverse')	1
('R01560', 'forward')	1
('R00177', 'forward')	1
('R00355', 'reverse')	1
('R01433', 'forward')	1
('R08515', 'reverse')	1
('R09648', 'forward')	1
('R01677', 'reverse')	1
('R07940', 'reverse')	1
('R01167', 'reverse')	1
('R04143', 'forward')	1
('R00588', 'reverse')	1
('R03333', 'reverse')	1
('R01573', 'reverse')	1
('R01965', 'forward')	1
('R10775', 'forward')	1
('R01397', 'reverse')	1
('R09945', 'forward')	1
('R10088', 'forward')	1
('R02833', 'reverse')	1
('R04286', 'reverse')	1
('R00128', 'reverse')	1
('R03330', 'reverse')	1
('R00552', 'forward')	1
('R01829', 'forward')	1
('R01091', 'forward')	1
('R01291', 'reverse')	1
('R05799', 'forward')	1
('R00324', 'forward')	1
('R01902', 'reverse')	1
('R02144', 'reverse')	1
('R02732', 'forward')	1
('R00827', 'reverse')	1
('R05606', 'reverse')	1
('R00439', 'reverse')	1
('R05053', 'reverse')	1
('R10836', 'reverse')	1
('R03315', 'forward')	1
('R02741', 'forward')	1
('R04531', 'forward')	1
('R06977', 'forward')	1
('R00126', 'reverse')	1
('R00491', 'forward')	1
('R00888', 'reverse')	1
('R00453', 'reverse')	1
('R00483', 'forward')	1
('R09126', 'forward')	1
('R00141', 'forward')	1
('R02731', 'forward')	1
('R01969', 'reverse')	1
('R01190', 'forward')	1
('R03132', 'reverse')	1
('R07405', 'reverse')	1
('R01050', 'forward')	1
('R00801', 'forward')	1
('R00954', 'forward')	1
('R00762', 'forward')	1
('R09670', 'reverse')	1
('R02319', 'forward')	1
('R10847', 'forward')	1
('R09800', 'forward')	1
