ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
1.8.98.2	PF02195	0.9375498889	GOLD	No
1.1.5.4	PF06039	0.9373532778	GOLD	Yes
2.7.1.1	PF00349	0.9369326111	GOLD	Yes
5.1.1.3	PF01177	0.9368058333	GOLD	Yes
4.1.1.31	PF00311	0.9365746667	GOLD	Yes
2.3.2.8	PF04376	0.9363935556	GOLD	Yes
6.1.1.4	PF13603	0.9359591667	GOLD	Yes
2.3.2.13	PF00927	0.9354385	GOLD	Yes
3.1.1.22	PF10605	0.9352692778	GOLD	Yes
2.4.1.15	PF00982	0.9337684444	GOLD	No
1.10.3.11	PF01786	0.9302975556	GOLD	No
6.3.3.2	PF01812	0.9301040556	GOLD	No
3.6.1.19	PF01725	0.9298277222	GOLD	Yes
3.1.13.1	PF08206	0.9295628333	GOLD	Yes
2.7.7.8	PF00013	0.9293349444	GOLD	No
1.5.1.3	PF00186	0.9291176667	GOLD	Yes
4.2.1.151	PF02621	0.9281726111	GOLD	No
2.7.7.79	PF04446	0.9281726111	GOLD	Yes
2.3.1.225	PF01529	0.9281196111	GOLD	Yes
2.7.1.25	PF01583	0.9275986667	GOLD	Yes
2.7.6.1	PF14572	0.9271243889	GOLD	Yes
3.1.4.11	PF00387	0.9268811111	GOLD	Yes
2.7.1.1	PF03727	0.9266271111	GOLD	Yes
2.3.1.8	PF01515	0.9263423333	GOLD	Yes
4.2.1.9	PF00920	0.9261825556	GOLD	Yes
6.3.4.21	PF04095	0.9261028889	GOLD	Yes
6.2.1.14	PF03744	0.9259581111	GOLD	Yes
5.3.1.17	PF04962	0.9257242778	GOLD	Yes
3.4.21.5	PF09396	0.9247794444	GOLD	Yes
3.6.3.14	PF00306	0.9231552222	GOLD	Yes
3.2.1.22	PF02065	0.9228695556	GOLD	Yes
3.1.1.29	PF01195	0.9221722222	GOLD	Yes
6.5.1.4	PF05189	0.9220825556	GOLD	Yes
4.1.1.39	PF02788	0.9220229444	GOLD	Yes
3.1.1.53	PF03996	0.9215178333	GOLD	Yes
3.1.1.53	PF02710	0.9215178333	GOLD	Yes
3.4.21.53	PF02190	0.9208613889	GOLD	No
2.3.1.222	PF06130	0.9208506667	GOLD	Yes
1.3.99.22	PF06969	0.9207076667	GOLD	No
2.7.1.2	PF02685	0.9202740556	GOLD	Yes
3.6.1.27	PF02673	0.9195557778	GOLD	Yes
3.5.3.6	PF02274	0.9191511667	GOLD	Yes
3.2.2.27	PF03167	0.9191139444	GOLD	Yes
2.4.1.227	PF03033	0.9187189444	GOLD	Yes
6.1.1.16	PF09190	0.9170310556	GOLD	Yes
3.6.3.14	PF02874	0.9160178889	GOLD	Yes
3.1.26.3	PF00035	0.9156124444	GOLD	No
2.1.1.100	PF04140	0.9151364444	GOLD	No
4.2.2.3	PF05426	0.9146272222	GOLD	Yes
3.4.24.39	PF02102	0.9130947778	SILVER	Yes
4.6.1.16	PF02778	0.9127642778	GOLD	Yes
3.1.26.3	PF14622	0.9118858889	GOLD	Yes
3.1.1.96	PF02580	0.9116585	GOLD	Yes
3.1.1.4	PF00068	0.9113477222	GOLD	Yes
2.7.4.3	PF05191	0.9112407222	GOLD	Yes
3.1.22.4	PF02075	0.9105186667	GOLD	Yes
2.4.1.18	PF02922	0.9101955556	GOLD	No
2.7.1.71	PF01202	0.9093855556	GOLD	Yes
2.1.1.228	PF01746	0.9083904444	GOLD	Yes
2.7.4.25	PF02224	0.9079813333	GOLD	Yes
1.97.1.12	PF00223	0.9068970556	GOLD	Yes
3.6.1.40	PF02541	0.9064394444	GOLD	Yes
6.3.5.7	PF01425	0.9057646667	GOLD	Yes
1.10.3.2	PF07731	0.905735	GOLD	No
4.1.1.39	PF00016	0.9055702778	GOLD	Yes
1.14.13.8	PF00743	0.9052518889	GOLD	No
1.4.1.24	PF01959	0.9050629444	GOLD	Yes
2.7.1.11	PF00365	0.9049171667	GOLD	Yes
6.5.1.1	PF04679	0.9048180556	GOLD	Yes
