,ec,cofactor,rn
200,1.14.11.39,fe,R10446
201,1.14.11.4,fe,R03376
202,1.14.11.4,fe,R03380
203,1.14.11.4,fe,R04491
204,1.14.11.40,fe,R10413
205,1.14.11.41,fe,R09363
206,1.14.11.42,fe,R10522
207,1.14.11.43,fe,R10487
208,1.14.11.43,fe,R10527
209,1.14.11.44,fe,R10539
210,1.14.11.44,fe,R10542
211,1.14.11.46,fe,R10724
212,1.14.11.6,fe,R01412
213,1.14.11.6,fe,R08610
214,1.14.11.6,fe,R08611
215,1.14.11.7,fe,R03218
216,1.14.11.8,fe,R03451
217,1.14.11.9,fe,R02444
218,1.14.11.9,fe,R03640
219,1.14.11.9,fe,R05039
220,1.14.11.9,fe,R07329
221,1.14.11.9,fe,R07993
222,1.14.11.9,fe,R07996
223,1.14.11.9,fe,R07997
224,1.14.12.1,fe,R00823
225,1.14.12.1,fe,R00825
226,1.14.12.10,fe,R05290
227,1.14.12.10,fe,R05291
228,1.14.12.10,fe,R05428
229,1.14.12.10,fe,R05621
230,1.14.12.10,fe,R05622
231,1.14.12.10,fe,R05665
232,1.14.12.10,fe,R07188
233,1.14.12.10,fe,R08100
234,1.14.12.10,fe,R08101
235,1.14.12.10,fe,R08108
236,1.14.12.10,fe,R08109
237,1.14.12.10,fe,R08110
238,1.14.12.10,fes,R05290
239,1.14.12.10,fes,R05291
240,1.14.12.10,fes,R05428
241,1.14.12.10,fes,R05621
242,1.14.12.10,fes,R05622
243,1.14.12.10,fes,R05665
244,1.14.12.10,fes,R07188
245,1.14.12.10,fes,R08100
246,1.14.12.10,fes,R08101
247,1.14.12.10,fes,R08108
248,1.14.12.10,fes,R08109
249,1.14.12.10,fes,R08110
250,1.14.12.11,fe,R03543
251,1.14.12.11,fe,R03559
252,1.14.12.11,fe,R09151
253,1.14.12.11,fe,R09152
254,1.14.12.11,fes,R03543
255,1.14.12.11,fes,R03559
256,1.14.12.11,fes,R09151
257,1.14.12.11,fes,R09152
258,1.14.12.12,fe,R02968
259,1.14.12.12,fe,R05422
260,1.14.12.12,fe,R05423
261,1.14.12.12,fe,R05424
262,1.14.12.12,fe,R05425
263,1.14.12.12,fe,R05426
264,1.14.12.12,fe,R05427
265,1.14.12.12,fe,R06909
266,1.14.12.12,fe,R06930
267,1.14.12.12,fe,R06937
268,1.14.12.12,fe,R07704
269,1.14.12.12,fe,R09159
270,1.14.12.12,fes,R02968
271,1.14.12.12,fes,R05422
272,1.14.12.12,fes,R05423
273,1.14.12.12,fes,R05424
274,1.14.12.12,fes,R05425
275,1.14.12.12,fes,R05426
276,1.14.12.12,fes,R05427
277,1.14.12.12,fes,R06909
278,1.14.12.12,fes,R06930
279,1.14.12.12,fes,R06937
280,1.14.12.12,fes,R07704
281,1.14.12.12,fes,R09159
282,1.14.12.15,fes_2Fe_2S,R05148
283,1.14.12.18,fes_2Fe_2S,R05261
284,1.14.12.18,fes_2Fe_2S,R05262
285,1.14.12.18,fes_2Fe_2S,R05263
286,1.14.12.18,fes_2Fe_2S,R05264
287,1.14.12.18,fe,R05261
288,1.14.12.18,fe,R05262
289,1.14.12.18,fe,R05263
290,1.14.12.18,fe,R05264
291,1.14.12.18,fes,R05261
292,1.14.12.18,fes,R05262
293,1.14.12.18,fes,R05263
294,1.14.12.18,fes,R05264
295,1.14.12.20,fe,R08921
296,1.14.12.20,fes,R08921
297,1.14.12.21,fe,R09555
298,1.14.12.21,fes,R09555
299,1.14.12.22,fes_2Fe_2S,R05414
300,1.14.12.22,fes_2Fe_2S,R09512
301,1.14.12.22,fe,R05414
302,1.14.12.22,fe,R09512
303,1.14.12.22,fes,R05414
304,1.14.12.22,fes,R09512
305,1.14.12.3,fe,R03543
306,1.14.12.3,fe,R03559
307,1.14.12.3,fe,R09151
308,1.14.12.3,fe,R09152
309,1.14.12.3,fes,R03543
310,1.14.12.3,fes,R03559
311,1.14.12.3,fes,R09151
312,1.14.12.3,fes,R09152
313,1.14.12.7,fe,R03630
314,1.14.12.7,fes,R03630
315,1.14.12.8,fe,R01636
