,rn
1840,R01423
1841,R01424
1842,R01425
1843,R01429
1844,R01429
1845,R01430
1846,R01430
1847,R01431
1848,R01431
1849,R01432
1851,R01434
1852,R01434
1853,R01437
1855,R01441
1856,R01442
1857,R01443
1859,R01445
1860,R01446
1861,R01446
1862,R01447
1866,R01451
1867,R01454
1868,R01456
1869,R01457
1870,R01459
1872,R01461
1873,R01462
1877,R01463
1878,R01465
1879,R01466
1881,R01468
1882,R01468
1884,R01470
1885,R01470
1886,R01471
1887,R01471
1888,R01472
1889,R01473
1890,R01476
1893,R01481
1894,R01481
1895,R01482
1899,R01486
1900,R01487
1901,R01488
1902,R01489
1903,R01490
1904,R01491
1905,R01492
1906,R01493
1907,R01494
1908,R01495
1909,R01496
1910,R01497
1913,R01500
1914,R01500
1916,R01504
1917,R01505
1918,R01506
1919,R01507
1920,R01508
1921,R01511
1923,R01513
1924,R01514
1925,R01515
1926,R01516
1927,R01516
1928,R01516
1930,R01518
1931,R01518
1932,R01518
1933,R01518
1935,R01520
1936,R01521
1937,R01522
1938,R01522
1939,R01523
1940,R01524
1941,R01525
1942,R01526
1943,R01526
1944,R01528
1945,R01528
1946,R01528
1947,R01529
1948,R01530
1949,R01532
1951,R01535
1952,R01538
1953,R01538
1954,R01540
1955,R01541
1956,R01541
1957,R01542
1958,R01542
1959,R01543
1960,R01544
1964,R01548
1965,R01549
1966,R01550
1967,R01553
1968,R01553
1969,R01555
1970,R01556
1972,R01557
1975,R01560
1976,R01561
1977,R01562
1978,R01562
1979,R01562
1980,R01563
1981,R01564
1982,R01565
1983,R01566
1984,R01567
1985,R01568
1986,R01569
1987,R01569
1988,R01569
1989,R01569
1990,R01569
1991,R01569
1992,R01570
1993,R01570
1994,R01571
1995,R01572
1996,R01573
1997,R01574
1998,R01574
1999,R01575
2000,R01576
2001,R01577
2002,R01579
2003,R01579
2004,R01579
2006,R01581
2008,R01583
2009,R01584
2010,R01585
2011,R01586
2012,R01587
2013,R01588
2014,R01588
2015,R01589
2016,R01590
2017,R01593
2018,R01594
2019,R01595
2020,R01596
2022,R01599
2023,R01600
2024,R01600
2025,R01602
2026,R01604
2027,R01607
2028,R01608
2029,R01609
2030,R01611
2031,R01613
2032,R01614
2033,R01615
2035,R01617
2036,R01618
2037,R01619
2038,R01620
2039,R01621
2040,R01621
2041,R01623
2042,R01624
2043,R01624
2044,R01624
2045,R01625
2046,R01626
2047,R01626
2048,R01626
2049,R01627
2050,R01628
2051,R01629
2052,R01630
2053,R01631
2054,R01632
2055,R01633
2056,R01634
2057,R01635
2058,R01636
2059,R01639
2061,R01644
2062,R01644
2063,R01645
2064,R01647
2068,R01649
2069,R01651
2070,R01652
2075,R01655
