rxns,metal
R08689,fe
R08698,fe
R08784,fe
R08863,fe
R08921,fe
R09032,fe
R09071,fe
R09095,fe
R09125,fe
R09134,fe
R09151,fe
R09152,fe
R09156,fe
R09159,fe
R09272,fe
R09317,fe
R09363,fe
R09402,fe
R09466,fe
R09489,fe
R09493,fe
R09497,fe
R09503,fe
R09504,fe
R09508,fe
R09510,fe
R09511,fe
R09512,fe
R09518,fe
R09519,fe
R09541,fe
R09555,fe
R09565,fe
R09566,fe
R09572,fe
R09601,fe
R09669,fe
R09670,fe
R09682,fe
R09684,fe
R09786,fe
R09787,fe
R09860,fe
R09952,fe
R09991,fe
R10056,fe
R10080,fe
R10083,fe
R10084,fe
R10085,fe
R10090,fe
R10091,fe
R10106,fe
R10107,fe
R10108,fe
R10170,fe
R10230,fe
R10233,fe
R10243,fe
R10312,fe
R10322,fe
R10324,fe
R10344,fe
R10345,fe
R10348,fe
R10390,fe
R10413,fe
R10415,fe
R10445,fe
R10446,fe
R10468,fe
R10487,fe
R10501,fe
R10510,fe
R10512,fe
R10521,fe
R10522,fe
R10527,fe
R10539,fe
R10542,fe
R10557,fe
R10558,fe
R10559,fe
R10560,fe
R10572,fe
R10576,fe
R10577,fe
R10578,fe
R10602,fe
R10603,fe
R10652,fe
R10653,fe
R10654,fe
R10722,fe
R10724,fe
R10761,fe
R10766,fe
R10782,fe
R10802,fe
R10859,fe
R00031,cu
R00045,cu
R00058,cu
R00068,cu
R00074,cu
R00078,cu
R00080,cu
R00081,cu
R00082,cu
R00083,cu
R00086,cu
R00143,cu
R00148,cu
R00275,cu
R00280,cu
R00731,cu
R00783,cu
R00784,cu
R00785,cu
R01098,cu
R01099,cu
R01151,cu
R01372,cu
R01522,cu
R01853,cu
R02078,cu
R02106,cu
R02150,cu
R02156,cu
R02173,cu
R02338,cu
R02363,cu
R02382,cu
R02383,cu
R02521,cu
R02529,cu
R02535,cu
R02612,cu
R02613,cu
R02670,cu
R02882,cu
R02950,cu
R02987,cu
R03139,cu
R03666,cu
R03912,cu
R04027,cu
R04039,cu
R04300,cu
R04674,cu
R04693,cu
R04884,cu
R05334,cu
R05759,cu
R06133,cu
R06154,cu
R06604,cu
R06740,cu
R07224,cu
R07225,cu
R07638,cu
R07981,cu
R08005,cu
R08008,cu
R08009,cu
R08010,cu
R08433,cu
R08538,cu
R08762,cu
R08763,cu
R09156,cu
R09317,cu
R09445,cu
R09473,cu
R09492,cu
R09504,cu
R09518,cu
R09519,cu
R09551,cu
R10243,cu
R10444,cu
R10720,cu
R00009,mn
R00025,mn
R00074,mn
R00086,mn
R00093,mn
R00097,mn
R00106,mn
R00111,mn
R00114,mn
R00135,mn
R00161,mn
R00184,mn
R00191,mn
R00196,mn
R00199,mn
R00215,mn
R00217,mn
R00248,mn
R00267,mn
R00268,mn
R00273,mn
R00275,mn
R00277,mn
R00278,mn
R00282,mn
R00283,mn
R00289,mn
R00319,mn
R00340,mn
R00344,mn
R00347,mn
R00473,mn
R00475,mn
R00502,mn
R00507,mn
R00522,mn
R00549,mn
R00557,mn
R00558,mn
R00602,mn
R00611,mn
R00649,mn
R00657,mn
R00682,mn
R00700,mn
R00702,mn
R00709,mn
R00750,mn
R00766,mn
R00775,mn
R00855,mn
R00899,mn
R00913,mn
R00961,mn
R00975,mn
R00995,mn
R01054,mn
R01123,mn
R01166,mn
R01211,mn
R01260,mn
R01306,mn
R01341,mn
R01348,mn
R01381,mn
R01404,mn
R01471,mn
R01492,mn
R01518,mn
R01577,mn
R01609,mn
R01624,mn
R01626,mn
R01627,mn
R01636,mn
R01645,mn
R01647,mn
R01710,mn
R01711,mn
R01714,mn
R01717,mn
R01751,mn
R01761,mn
R01840,mn
R01842,mn
R01866,mn
R01868,mn
R01869,mn
R01899,mn
R01934,mn
R01936,mn
R01990,mn
R01992,mn
R02009,mn
R02010,mn
R02013,mn
R02065,mn
R02131,mn
R02163,mn
R02166,mn
R02183,mn
R02307,mn
R02351,mn
R02391,mn
R02393,mn
R02423,mn
R02449,mn
R02451,mn
R02501,mn
R02503,mn
R02545,mn
R02670,mn
R02673,mn
R02698,mn
R02782,mn
R02829,mn
R02858,mn
R02860,mn
R02872,mn
R02996,mn
R03077,mn
R03087,mn
R03156,mn
R03163,mn
R03299,mn
R03462,mn
R03532,mn
R03629,mn
R03630,mn
R03681,mn
R03763,mn
R03764,mn
R03824,mn
R03959,mn
R04031,mn
R04053,mn
R04102,mn
R04121,mn
R04218,mn
R04259,mn
R04345,mn
R04355,mn
R04392,mn
R04428,mn
R04430,mn
R04520,mn
R04533,mn
R04534,mn
R04535,mn
R04536,mn
R04537,mn
R04543,mn
R04544,mn
R04566,mn
R04568,mn
R04607,mn
R04615,mn
R04654,mn
