ec,cofactor
1.14.13.71,heme
1.14.13.73,heme
1.14.13.74,heme
1.14.13.75,heme
1.14.13.83,fe
1.14.13.83,fes
1.14.13.84,flavoprotein
1.14.13.85,heme
1.14.13.87,heme
1.14.13.88,heme
1.14.13.89,heme
1.14.13.90,flavoprotein
1.14.13.91,heme
1.14.13.92,flavoprotein
1.14.13.93,heme
1.14.13.94,heme
1.14.13.95,heme
1.14.13.96,heme
1.14.13.97,heme
1.14.13.98,heme
1.14.13.99,heme
1.14.13.100,heme
1.14.13.101,flavoprotein
1.14.13.103,heme
1.14.13.104,heme
1.14.13.105,flavoprotein
1.14.13.107,flavoprotein
1.14.13.108,heme
1.14.13.109,heme
1.14.13.110,heme
1.14.13.111,fes_2Fe_2S
1.14.13.111,flavoprotein
1.14.13.113,flavoprotein
1.14.13.114,flavoprotein
1.14.13.117,heme
1.14.13.118,heme
1.14.13.119,heme
1.14.13.120,heme
1.14.13.121,heme
1.14.13.122,fe
1.14.13.123,heme
1.14.13.124,heme
1.14.13.125,heme
1.14.13.126,fes_2Fe_2S
1.14.13.126,heme
1.14.13.127,flavoprotein
1.14.13.128,fe
1.14.13.130,flavoprotein
1.14.13.131,mg
1.14.13.131,flavoprotein
1.14.13.132,heme
1.14.13.132,flavoprotein
1.14.13.133,heme
1.14.13.141,heme
1.14.13.142,fe
1.14.13.142,fes
1.14.13.142,flavoprotein
1.14.13.148,flavoprotein
1.14.13.151,fes_2Fe_2S
1.14.13.151,heme
1.14.13.156,heme
1.14.13.156,fe
1.14.13.157,heme
1.14.13.158,heme
1.14.13.160,flavoprotein
1.14.13.162,fe
1.14.13.162,flavoprotein
1.14.13.163,flavoprotein
1.14.13.165,fes_2Fe_2S
1.14.13.165,heme
1.14.13.165,fe
1.14.13.165,flavoprotein
1.14.13.165,pterin
1.14.13.167,flavoprotein
1.14.13.170,flavoprotein
1.14.13.171,flavoprotein
1.14.13.172,fe
1.14.13.172,fes
1.14.13.172,flavoprotein
1.14.13.173,heme
1.14.13.174,heme
1.14.13.175,heme
1.14.13.176,heme
1.14.13.177,heme
1.14.13.178,fe
1.14.13.179,fe
1.14.13.180,flavoprotein
1.14.13.183,heme
1.14.13.184,heme
1.14.13.185,heme
1.14.13.186,heme
1.14.13.187,flavoprotein
1.14.13.188,heme
1.14.13.194,heme
1.14.13.195,flavoprotein
1.14.13.196,flavoprotein
1.14.13.197,heme
1.14.13.198,heme
1.14.13.202,heme
1.14.13.203,heme
1.14.14.1,heme
1.14.14.8,flavoprotein
1.14.14.10,mg
1.14.14.10,flavoprotein
1.14.14.12,flavoprotein
1.14.14.13,flavoprotein
1.14.15.1,heme
1.14.15.3,heme
1.14.15.4,heme
1.14.15.6,heme
1.14.15.7,fes_2Fe_2S
1.14.15.7,mg
1.14.15.7,fe
1.14.15.9,heme
1.14.15.11,heme
1.14.15.12,heme
1.14.15.13,heme
1.14.15.13,fe
1.14.16.1,fe
1.14.16.2,fe
1.14.16.3,fe
1.14.16.4,fe
1.14.16.5,fe
1.14.16.6,fe
1.14.17.1,cu
1.14.17.3,cu
1.14.17.4,heme
1.14.17.4,fe
1.14.18.1,cu
1.14.18.2,fes_2Fe_2S
1.14.18.2,fe
1.14.18.3,cu
1.14.19.1,fe
1.14.19.3,fe
1.14.19.8,heme
1.14.20.3,fe
1.14.21.1,heme
1.14.21.2,heme
1.14.21.3,heme
1.14.21.4,heme
1.14.21.5,heme
1.14.21.8,heme
1.14.21.9,heme
1.14.21.10,heme
1.14.99.3,heme
1.14.99.3,fe
1.14.99.9,heme
1.14.99.10,heme
1.14.99.15,fe
1.14.99.15,fes
1.14.99.15,flavoprotein
1.14.99.19,mg
1.14.99.21,flavoprotein
1.14.99.22,heme
1.14.99.24,fe
1.14.99.24,fes
1.14.99.24,flavoprotein
1.14.99.33,fe
1.14.99.34,flavoprotein
1.14.99.35,mo
1.14.99.36,fe
1.14.99.38,fe
1.14.99.39,cu
1.14.99.39,fe
1.14.99.39,zn
1.14.99.43,heme
1.14.99.45,heme
1.14.99.48,fe
1.14.99.49,heme
1.15.1.1,cu
1.15.1.1,fe
1.15.1.1,mn
1.15.1.1,zn
1.15.1.2,fe
1.16.1.3,flavoprotein
1.16.1.4,flavoprotein
1.16.1.5,flavoprotein
1.16.1.6,flavoprotein
1.16.1.7,fe
1.16.1.7,flavoprotein
1.16.1.8,flavoprotein
1.16.1.9,fe
1.16.1.9,flavoprotein
1.16.3.1,heme
1.16.3.1,cu
1.16.3.1,fe
1.16.5.1,heme
1.16.8.1,flavoprotein
1.17.1.2,fes_3Fe_4S
1.17.1.2,fes_4Fe_4S
1.17.1.2,fe
1.17.1.2,fes
1.17.1.4,fes_2Fe_2S
1.17.1.4,flavoprotein
1.17.1.4,mo
1.17.1.5,fe
1.17.1.5,flavoprotein
1.17.2.1,fes_2Fe_2S
1.17.2.1,flavoprotein
1.17.2.1,pterin
1.17.2.2,heme
1.17.3.2,fes_2Fe_2S
1.17.3.2,fe
1.17.3.2,flavoprotein
1.17.3.2,mo
1.17.3.2,pterin
1.17.3.3,fes_2Fe_2S
1.17.3.3,fe
1.17.3.3,fes
1.17.3.3,flavoprotein
1.17.3.3,mo
1.17.4.1,fe
1.17.5.1,fe
1.17.5.1,mo
1.17.7.1,fes_4Fe_4S
1.17.7.1,fe
1.17.7.1,fes
1.17.7.2,fe
1.17.7.2,fes
1.17.7.2,flavoprotein
1.17.7.3,fes_4Fe_4S
1.17.7.3,fe
1.17.7.3,fes
1.17.99.1,flavoprotein
1.17.99.2,heme
1.17.99.2,fes_4Fe_4S
1.17.99.2,pterin
1.18.1.1,fe
1.18.1.1,flavoprotein
1.18.1.2,fes_2Fe_2S
1.18.1.2,fes_4Fe_4S
1.18.1.2,flavoprotein
1.18.1.3,fes_2Fe_2S
1.18.1.3,fes_4Fe_4S
1.18.1.3,flavoprotein
1.18.1.4,flavoprotein
