,rn,rule
14118,R01142_v1,1_150_221_304_640_7514_64
14119,R01143_v1,1_150_221_640_7514_64
14654,R01715_v1,164_2003_64
14656,R01715_v1,129_164_64
14657,R01715_v1,164_304_7523_64
14659,R01715_v1,164_64
14660,R01715_v1,164_2002_64
14719,R01826_v1,164_2002_64
15658,R02823_v1,1_150_221_640_7514_64
15972,R03269_v1,2003_7564_64
15973,R03269_v1,7564_64
15974,R03269_v2,2003_7564_64
15975,R03269_v2,7564_64
19239,R10090_v1,206_3264_64
19240,R10091_v1,206_3264_64
20157,R11889_v1,2002_64
20350,R12308_v1,206_3264_64
20352,R12311_v1,206_3264_64
20372,R12353_v1,206_3264_64
1742,R07674,4018-7587
12846,R00188_v1,4018-7587
12850,R00188_v2,4018-7587
13206,R00508_v1,4018-7587
13209,R00508_v2,4018-7587
13587,R00762_v1,4018-7587
13588,R00762_v2,4018-7587
14166,R01185_v1,4018-7587
14167,R01186_v1,4018-7587
14168,R01187_v1,4018-7587
14724,R01845_v1,4018-7587
14725,R01845_v2,4018-7587
15795,R03013_v1,4018-7587
16072,R03393_v1,4018-7587
16087,R03427_v1,4018-7587
16850,R04780_v1,4018-7587
16853,R04780_v2,4018-7587
14109,R01132_v1,2005_3018_865
14110,R01132_v1,2005_865
14226,R01229_v1,2005_3018_865
14227,R01229_v1,2005_865
15058,R02142_v1,2005_3018_865
15059,R02142_v1,2005_865
42,R07677,247_7
47,R09559,2007_7
49,R01087,2007_7
65,R00948,7516_7
78,R03540,7561_7
90,R05530,7512_7
107,R09820,222_7524_7
116,R11362,327_4011_7584_7
125,R06789,7579_7
133,R10876,7512_7
140,R09283,7527_7
171,R06451,7512_7
174,R09836,222_7524_7
205,R06457,7512_7
211,R01635,7523_7
220,R00354,172_7
234,R02941,7524_7
247,R10874,7512_7
260,R07405,2007_7
261,R06455,7512_7
263,R02539,4011_7584_7
264,R02539,327_4011_7584_7
269,R09397,7516_7
273,R10615,7524_7
279,R05177,2007_7
280,R06452,7512_7
305,R08214,7510_7
325,R08215,7510_7
334,R11626,2007_7
338,R09126,7579_7
339,R10904,7527_7
342,R01419,7524_7
344,R11627,2007_7
347,R09947,7561_7
349,R09983,7579_7
359,R00209,147_2003_244_323_325_7522_7574_7
362,R00228,2007_4002_7524_7
363,R00228,7524_7
364,R00230,2493_7510_7
365,R00230,7510_7
367,R00230,2004_2493_7510_7
370,R00238,7581_7
385,R00342,2003_279_7
398,R00406,7527_7
413,R00621,323_7522_7574_7
414,R00621,7522_7574_7
442,R00829,7581_7
461,R00943,2003_2004_2007_7
463,R00943,2003_2004_2007_3654_7
468,R00982,327_4011_7584_7
486,R01127,2492_7543_7
497,R01220,2003_2004_2007_7
498,R01220,2003_2007_7
499,R01220,2003_2004_2007_3654_7
500,R01220,2007_7
501,R01221,1_2003_244_3016_304_325_7577_7
505,R01322,2003_2007_206_7
512,R01397,2003_304_375_7
514,R01397,101_2002_2003_2007_206_2487_7543_7
527,R01655,2003_2004_2007_7
528,R01655,2003_2007_7
529,R01655,2003_2004_2007_3654_7
531,R01700,323_7522_7574_7
532,R01700,7522_7574_7
567,R02570,323_7522_7574_7
569,R02570,147_323_325_7
593,R03165,1137_2007_7550_7
594,R03165,2007_7
595,R03194,1137_2003_4029_4049_7550_7
596,R03194,1137_2003_7550_7
598,R03194,1137_2007_7550_7
599,R03194,1137_2003_4029_7550_7
600,R03194,2007_7
601,R03194,1137_7550_7
602,R03270,7522_7574_7
603,R03316,323_7522_7574_7
604,R03316,7522_7574_7
610,R03509,2002_2007_7
621,R03947,1137_2003_4029_4049_7550_7
623,R03947,1137_2003_4029_7550_7
624,R03948,7550_7
625,R03948,1137_7550_7
631,R04035,159_239_7524_7
642,R04208,2003_206_301_304_325_7571_7
645,R04209,2007_206_7
646,R04209,2003_2007_206_325_7
647,R04209,101_2007_206_7
648,R04325,2492_7571_7
649,R04325,7571_7
650,R04325,2003_206_301_304_325_7571_7
661,R04463,103_2007_301_304_7
668,R04560,2492_7571_7
669,R04560,2492_7543_7
685,R05227,109_2004_2007_3997_7
686,R05227,109_2004_2007_7
701,R05531,7512_7
703,R05587,7581_7
704,R05588,7527_7
734,R06448,2003_2007_222_236_304_6094_7581_7
735,R06450,7512_7
736,R06453,2003_2007_222_236_304_6094_6113_7579_7581_7
739,R06460,7512_7
740,R06461,7512_7
742,R06483,2003_2007_222_304_6051_6094_6113_7581_7
752,R06643,7581_7
761,R07136,2003_279_7
762,R07136,276_7
792,R09258,7581_7
793,R09259,7581_7
800,R09286,2003_236_2486_327_4011_7584_7
801,R09286,327_4011_7584_7
827,R09839,2486_7581_7
834,R10089,2002_2007_7
835,R10151,107_11_221_246_805_7
852,R10707,7581_7
857,R10880,323_327_4011_4076_7584_7
865,R11516,7581_7
871,R11944,1_1001_187_2003_2007_633_7
872,R11944,1_1001_101_187_2003_2007_3740_7
873,R11944,1_1001_101_187_2003_2007_7
874,R11944,1_1001_187_2003_2007_3740_633_7
879,R12049,327_4011_7581_7584_7
880,R12049,132_327_4011_7581_7584_7
888,R12660,2003_2007_222_236_304_6094_7581_7
918,R01512,7532_7533_7
930,R01827,2002_2007_7
932,R01827,2007_7
936,R01830,7574_7
937,R01830,7522_7574_7
942,R01641,7574_7
943,R01641,7522_7574_7
946,R01056,7560_7
956,R00706,7524_7
957,R00705,7524_7
980,R03313,7524_7
981,R03313,7524_7531_7
982,R00480,2003_298_304_7531_7
983,R00480,1_2002_304_7531_7
984,R00480,2003_298_7531_7
985,R00480,304_7531_7
998,R01777,2007_7
999,R01777,7579_7
1001,R01775,2003_298_304_7531_7
1004,R01775,2003_298_7531_7
1008,R01773,2003_298_304_7531_7
1011,R01773,2003_298_7531_7
