,rn,rule
566,R02550,1_150_221_304_66_7514
567,R02570,323_7522_7574
568,R02570,323_325
569,R02570,147_323_325
570,R02601,11
571,R02722,2002_2003
572,R02860,179_217_231_244_325
573,R02864,1137_2003_2007_4029_7550
574,R02864,1137_2003_2007_4029_4049_7550
575,R02968,1_221_243_331_4294_66_7514
576,R03012,159_239_7524
577,R03013,2006_212
578,R03013,2002
579,R03013,4018_7587
580,R03015,1_2003_205_207_298_3858_65
581,R03015,1_2002_2003_205_207_298_3858
582,R03015,1_2002_2003_205_207_298_3858_65
583,R03026,2486
584,R03026,129_2003_2486
585,R03026,129_2003
586,R03033,2002_218
587,R03045,2486
588,R03045,2003_236_2486_327_4011_7584
589,R03045,2003_222
590,R03045,129_2003_2486
591,R03045,2003
592,R03140,2002_302_304
593,R03165,1137_2007_7550
594,R03165,2007
595,R03194,1137_2003_4029_4049_7550
596,R03194,1137_2003_7550
597,R03194,604
598,R03194,1137_2007_7550
599,R03194,1137_2003_4029_7550
600,R03194,2007
601,R03194,1137_7550
602,R03270,7522_7574
603,R03316,323_7522_7574
604,R03316,7522_7574
605,R03444,2487_7542
606,R03457,2006_212
607,R03457,212
608,R03508,2002_2007
609,R03508,2002
610,R03509,2002_2007
611,R03509,2002
612,R03543,2003_243_244_331_4294_66
613,R03559,2003_243_244_331_4294_66
614,R03630,1_221_4294
615,R03630,1_221_331
616,R03630,1_221_4294_7514
617,R03630,1_221_331_7514
618,R03896,2487_7542
619,R03898,2487_7542
620,R03947,2003
621,R03947,1137_2003_4029_4049_7550
622,R03947,2003_4029
623,R03947,1137_2003_4029_7550
624,R03948,7550
625,R03948,1137_7550
626,R03968,2487_7542
627,R04001,2487_7542
628,R04014,222
629,R04014,7579
630,R04035,159_239
631,R04035,159_239_7524
632,R04035,159
633,R04037,159_239
634,R04037,159_239_7524
635,R04037,239
636,R04095,4033_4052_633
637,R04138,2003_206_2486_325
638,R04144,2003_206_301_304_325_7571
639,R04144,2003_206_325
640,R04144,2007_206
641,R04144,2003_206_301_304_325
642,R04208,2003_206_301_304_325_7571
643,R04208,2003_206_301_304_325
644,R04208,301_304
645,R04209,2007_206
646,R04209,2003_2007_206_325
647,R04209,101_2007_206
648,R04325,2492_7571
649,R04325,7571
650,R04325,2003_206_301_304_325_7571
651,R04347,2002_2007
652,R04347,2007
653,R04355,132_2002_2007_222_304_3323_7581
654,R04355,7581
655,R04355,132_2003_301_3294_7581
656,R04355,132_2003_3294_7581
657,R04355,2003_2007_222_236_304_6094_7581
658,R04355,132_2002_2007_222_304_3321_3323_7581
659,R04371,2487_7542
660,R04426,7510
661,R04463,103_2007_301_304
662,R04509,281
663,R04509,2002
664,R04509,150
