102 2.4.2.30|2.7.1.107|2.7.10.1|2.7.11.25|2.7.7.52|2.7.7.6|2.7.7.7|2.7.8.27|3.1.-.-|3.1.13.-|3.1.22.-|3.1.3.86|3.1.5.-|3.2.2.-|3.2.2.20|3.2.2.21|3.2.2.29|3.2.2.31|3.2.2.6|3.6.4.12|4.2.99.-|4.2.99.18
103 2.1.1.-|2.3.1.48|2.3.2.26|2.3.2.27|2.3.2.31|2.7.11.1|2.7.11.26|2.7.11.27|2.7.11.31|3.1.-.-|3.1.3.48|3.1.4.-|3.4.19.12|3.4.21.-|3.4.23.-|3.6.4.12
101 1.14.11.67|1.14.99.66|1.2.1.88|1.3.3.11|1.5.5.2|2.3.1.-|2.3.1.24|2.3.1.48|2.3.2.27|2.7.11.1|2.7.7.-|2.7.7.49|2.7.7.6|2.7.7.7|2.7.7.8|2.8.1.-|3.1.-.-|3.1.13.2|3.1.21.4|3.1.22.-|3.1.26.13|3.1.26.4|3.2.1.-|3.2.1.17|3.4.19.-|3.4.21.88|3.4.23.-|3.4.23.16|3.4.23.47|3.5.4.37|3.6.1.-|3.6.4.-|3.6.4.12|3.6.5.-|4.2.2.n1|5.6.2.1|6.1.1.17|6.5.1.-
106 1.11.-.-|1.11.1.7|1.13.-.-|1.14.12.17|1.7.2.1|2.7.13.3|2.7.7.65|4.-.-.-
107 1.-.-.-|1.11.1.5|1.7.2.2|1.8.2.2|2.8.5.2|7.1.1.9
105 2.3.1.48
221_3281_3843_4335_633_PDBChainNotFound 7.1.1.2
223_271 2.7.13.3
10_109_11_12 3.2.1.40
3156 1.-.-.-|1.10.3.-|1.10.3.2|1.10.3.3|1.10.3.4|1.10.99.1|1.16.3.1|1.20.9.1|1.3.3.5|1.7.2.1|3.6.3.4|7.1.1.9
231_3117 2.3.1.1|2.3.1.35
11_2487_2499 3.4.21.-|3.4.21.110|3.4.21.25
192_228 1.15.1.1
2498_3246 3.4.24.-|3.4.24.82
103_246 3.1.4.-
2004_7523 2.8.2.-|3.6.4.-
2004_7525 2.7.1.105|3.1.3.46
7517 3.2.-.-|3.2.2.-|3.2.2.1|3.2.2.2|3.2.2.3|3.2.2.8
3518 7.-.-.-|7.2.1.1
1149_4974_601 3.1.-.-
108_11 3.2.1.4
1_309_314_613 6.1.1.7
3517 3.1.-.-
109_247_268 3.1.6.-
101_2003_2007_206_2487_7543 6.3.4.16|6.3.5.5
10_304 2.1.1.229
1_160_2004_PDBChainNotFound 7.1.2.2
2007_225_605 2.7.13.3
102_2006_2484_304_4964_4970 2.7.7.7
7510 1.1.1.262|1.1.1.408|1.1.1.41|1.1.1.42|1.1.1.83|1.1.1.85|1.1.1.87|1.1.1.93|2.3.1.274|2.3.1.8|4.1.1.73
2_212_245_325_327 3.1.13.-
2003_PDBChainNotFound 1.1.1.40
2_206 2.7.7.50|3.1.3.33|6.5.1.-|6.5.1.1|6.5.1.2
192_314 6.1.1.11
632_7564 4.1.1.-
1175_246 2.3.1.269
3204 2.3.1.21
2004_316 2.7.1.24
2003_2004_3962_4333 2.1.1.72
376_821 3.1.-.-
108_109_223_4019 3.5.1.2
2005_8002 6.1.1.-
235_5001 3.2.1.17
2005_246 6.3.5.1
206_214_4 2.7.10.2
148_2004_932 2.7.7.7
2003_219_3596_7529 2.7.7.19|2.7.7.48|3.1.3.33|3.1.3.84|3.6.1.15|3.6.4.13
2010_301 2.7.1.121|2.7.1.2
2004_884 3.6.-.-
11_219 2.3.2.13|3.4.19.12
2006_3012_604 3.1.3.12
10_109_11_2499_9 3.4.14.10
221_304 3.1.-.-|5.4.99.19|5.4.99.21|5.4.99.22|5.4.99.23
3349 2.7.7.7|3.1.11.1
205_5037_5075 1.97.1.12
3016_7577_PDBChainNotFound 2.3.1.37|2.6.1.-
3374_3536 4.2.2.-
221_309 6.1.1.3
2484_4239 2.7.7.7
3754 2.7.8.13
4344_7515 5.4.2.7
2003_304_3995_3996_4962_4963_4967 2.1.1.296|2.1.1.56|2.7.7.48|2.7.7.88
316_3960 2.7.7.47
11_2485 1.8.1.8
2006_267 3.6.3.10|7.2.2.8|7.2.2.9
1_380 3.4.21.5
3281_3456_3579_3843_PDBChainNotFound 7.1.1.2
212_4008_7582 2.1.1.195
1_389 3.4.21.-|3.4.21.104|3.4.21.21|3.4.21.22|3.4.21.41|3.4.21.42|3.4.21.5|3.4.21.6|3.4.21.69
10_75 3.5.1.54
1003_2484_3819_3820_4012 3.1.-.-
130_2006_60 3.6.4.-|4.2.99.-
2002_304_328_375_4_7033_PDBChainNotFound 3.1.26.5
1_160_192_2004_56_7519_PDBChainNotFound 3.6.3.14
297_7580 3.5.4.25|4.1.99.12
2484_283 3.1.8.1|3.1.8.2|3.4.-.-|3.4.11.-|3.4.11.26|3.4.11.9|3.4.13.9|3.5.3.3|3.5.4.44|4.4.1.3
101_PDBChainNotFound 3.6.4.12
107_PDBChainNotFound 1.10.2.2
221_246 2.7.7.49
3430 3.6.4.-
2003_3996 2.1.1.56|2.7.7.48
3621_7579 3.4.14.2|3.4.16.2
2007_304_3322 1.3.1.9|2.3.1.38|2.3.1.39|3.1.2.14|4.2.1.59
2002_3405 4.1.2.21|5.2.1.8
187_221 1.3.5.1|1.3.5.4
