,atlas_rn,rn
7623,AR7624,R00146
7626,AR7627,R07165
7631,AR7632,R00248
7638,AR7639,R00716
7639,AR7640,R02315
7644,AR7645,R02755
7670,AR7671,R11032
7688,AR7689,R00676
7697,AR7698,R01212
7741,AR7742,R00563
7779,AR7780,R01584
7845,AR7846,R04201
7849,AR7850,R00452
7859,AR7860,R00666
8023,AR8024,R00114
8390,AR8391,R07415
8394,AR8395,R10101
8395,AR8396,R10102
8431,AR8432,R08347
8433,AR8434,R08348
8457,AR8458,R08702
8522,AR8523,R10103
8547,AR8548,R01710
8549,AR8550,R00250
8550,AR8551,R00366
8551,AR8552,R05861
8552,AR8553,R06124
8553,AR8554,R00447
8554,AR8555,R07598
8555,AR8556,R00357
8556,AR8557,R02923
8560,AR8561,R00648
8561,AR8562,R02457
8563,AR8564,R00677
8564,AR8565,R00689
8565,AR8566,R00729
8569,AR8570,R01151
8579,AR8580,R01469
8581,AR8582,R05862
8582,AR8583,R00610
8584,AR8585,R06154
8590,AR8591,R01914
8591,AR8592,R09077
8598,AR8599,R01853
8600,AR8601,R02150
8601,AR8602,R02173
8603,AR8604,R02197
8615,AR8616,R09495
8617,AR8618,R02382
8621,AR8622,R02532
8625,AR8626,R02233
8629,AR8630,R09074
8633,AR8634,R00277
8637,AR8638,R11177
8639,AR8640,R09076
8640,AR8641,R02908
8641,AR8642,R02919
8649,AR8650,R07400
8652,AR8653,R03139
8658,AR8659,R01564
8660,AR8661,R09075
8671,AR8672,R03202
8699,AR8700,R06740
8713,AR8714,R02529
8749,AR8750,R03899
8759,AR8760,R04025
8766,AR8767,R05334
8769,AR8770,R00612
8798,AR8799,R01264
8827,AR8828,R04239
8841,AR8842,R04300
8900,AR8901,R04674
8913,AR8914,R02613
8922,AR8923,R04890
8923,AR8924,R04894
8925,AR8926,R04893
9026,AR9027,R08346
9104,AR9105,R05863
9161,AR9162,R00481
9162,AR9163,R07463
9164,AR9165,R09560
9166,AR9167,R03425
9167,AR9168,R07408
9168,AR9169,R03249
9169,AR9170,R03314
9170,AR9171,R04443
9171,AR9172,R04446
9172,AR9173,R10013
9173,AR9174,R07478
9182,AR9183,R07477
9183,AR9184,R00936
9184,AR9185,R02201
9187,AR9188,R02235
9188,AR9189,R01246
9189,AR9190,R01248
9190,AR9191,R10332
9192,AR9193,R03291
9193,AR9194,R03614
9196,AR9197,R04339
9204,AR9205,R05878
9207,AR9208,R10730
9208,AR9209,R00939
9209,AR9210,R01249
9210,AR9211,R01251
9212,AR9213,R11765
9214,AR9215,R02203
9216,AR9217,R02236
9218,AR9219,R03293
9219,AR9220,R03388
9223,AR9224,R04340
9229,AR9230,R08510
9235,AR9236,R01218
9236,AR9237,R01220
9238,AR9239,R07168
9241,AR9242,R01224
9243,AR9244,R01937
9244,AR9245,R01938
9547,AR9548,R09335
9570,AR9571,R10327
9571,AR9572,R10328
9587,AR9588,R00975
9598,AR9599,R05317
9634,AR9635,R02204
9646,AR9647,R02894
9664,AR9665,R04221
10114,AR10115,R09312
10116,AR10117,R02163
10118,AR10119,R03816
10119,AR10120,R11585
10120,AR10121,R03643
10131,AR10132,R09236
10133,AR10134,R07358
10134,AR10135,R05399
10136,AR10137,R09288
10138,AR10139,R08042
10139,AR10140,R08017
10142,AR10143,R08047
10145,AR10146,R04228
10154,AR10155,R05711
10160,AR10161,R08018
10161,AR10162,R08043
10169,AR10170,R04046
10170,AR10171,R00143
10182,AR10183,R08019
10185,AR10186,R08016
10194,AR10195,R00794
10195,AR10196,R00796
10196,AR10197,R00787
10202,AR10203,R09231
10203,AR10204,R09232
10216,AR10217,R08046
10217,AR10218,R08044
10218,AR10219,R08045
10221,AR10222,R09230
10223,AR10224,R09235
10247,AR10248,R01134
10254,AR10255,R02106
10255,AR10256,R01698
10257,AR10258,R03815
10258,AR10259,R03761
10259,AR10260,R02016
10260,AR10261,R03821
10261,AR10262,R08356
10262,AR10263,R05715
10266,AR10267,R09561
10270,AR10271,R00091
10272,AR10273,R00892
10277,AR10278,R00094
10294,AR10295,R09498
10296,AR10297,R01681
10300,AR10301,R02434
10308,AR10309,R02021
10309,AR10310,R07176
10317,AR10318,R00045
10327,AR10328,R08832
10330,AR10331,R08828
10532,AR10533,R00602
10747,AR10748,R03973
10752,AR10753,R03539
10757,AR10758,R08521
10758,AR10759,R08520
10788,AR10789,R08523
10789,AR10790,R08522
10860,AR10861,R03208
10861,AR10862,R03953
10883,AR10884,R09563
10889,AR10890,R00274
10899,AR10900,R00052
10907,AR10908,R09505
10914,AR10915,R00009
10915,AR10916,R06839
10916,AR10917,R05248
10917,AR10918,R05245
10918,AR10919,R05257
10919,AR10920,R05278
10921,AR10922,R05295
10922,AR10923,R05404
10923,AR10924,R08114
10924,AR10925,R08115
10925,AR10926,R09214
10926,AR10927,R10521
10927,AR10928,R01507
10928,AR10929,R01632
10930,AR10931,R04258
10931,AR10932,R00817
10933,AR10934,R05246
10934,AR10935,R02665
10936,AR10937,R03365
10937,AR10938,R03462
10938,AR10939,R03550
10939,AR10940,R04061
10940,AR10941,R04089
10941,AR10942,R04597
10942,AR10943,R04602
10943,AR10944,R00816
10944,AR10945,R01631
10945,AR10946,R01506
10946,AR10947,R05405
10947,AR10948,R05407
10948,AR10949,R05299
10949,AR10950,R04376
10950,AR10951,R03303
10951,AR10952,R02075
10952,AR10953,R02076
10953,AR10954,R05406
10954,AR10955,R05409
10955,AR10956,R05412
10956,AR10957,R05411
10957,AR10958,R05413
10958,AR10959,R05415
10959,AR10960,R06788
10960,AR10961,R06833
10961,AR10962,R07691
10962,AR10963,R07801
10963,AR10964,R07827
10964,AR10965,R09134
10965,AR10966,R09237
10966,AR10967,R09272
10967,AR10968,R09276
10968,AR10969,R10110
10969,AR10970,R00678
10970,AR10971,R03097
10971,AR10972,R02702
10972,AR10973,R02909
10973,AR10974,R03628
10974,AR10975,R04032
10975,AR10976,R03466
10976,AR10977,R05256
10979,AR10980,R07364
10980,AR10981,R07702
10981,AR10982,R02519
10982,AR10983,R02656
10983,AR10984,R03891
11003,AR11004,R06952
11005,AR11006,R09782
11006,AR11007,R06953
11022,AR11023,R06886
11043,AR11044,R09163
11044,AR11045,R09206
11054,AR11055,R09601
11059,AR11060,R09682
11065,AR11066,R10560
11068,AR11069,R10844
11092,AR11093,R10559
11094,AR11095,R00032
11113,AR11114,R00043
11122,AR11123,R10843
11123,AR11124,R10192
11128,AR11129,R00893
11131,AR11132,R02467
11132,AR11133,R01184
11134,AR11135,R04117
11135,AR11136,R03246
11136,AR11137,R09565
11137,AR11138,R05719
11138,AR11139,R05720
11139,AR11140,R00983
11140,AR11141,R09125
