rn,delta_G,delta_G_error
AR474,6.22,0.04307709999999999
AR475,5.22,0.0886677
AR480,6.22,0.08988550000000001
AR481,3.76,0.11700899999999999
AR482,2.3,0.164257
AR483,2.3,0.0749326
AR484,-3.55,0.0784872
AR485,3.76,0.193692
AR486,3.67,0.0899457
AR487,3.76,0.09178539999999999
AR488,2.3,0.12181199999999999
AR489,3.76,0.0847457
AR490,6.22,0.15134
AR491,2.3,0.189639
AR493,6.22,0.09935369999999999
AR494,3.67,0.0898206
AR495,3.67,0.08999910000000001
AR496,2.21,0.0816919
AR497,2.21,0.0772054
AR498,5.22,0.0944238
AR499,0.75,0.0752262
AR500,2.21,0.0772054
AR501,2.3,0.10093400000000001
AR502,7.68,0.0259707
AR503,3.76,0.0790768
AR504,3.76,0.0788906
AR505,3.76,0.07871610000000001
AR506,5.22,0.0969001
AR507,2.3,0.167952
AR508,2.3,0.104698
AR509,2.3,0.104698
AR511,2.3,0.100899
AR513,3.76,0.078412
AR514,3.76,0.0782877
AR515,2.3,0.0798913
AR516,2.3,0.0798913
AR517,2.3,0.100597
AR518,2.3,0.100597
AR519,2.3,0.104923
AR520,2.3,0.08419700000000001
AR521,3.76,0.0785557
AR522,6.22,0.0697216
AR524,5.22,0.0964155
AR525,5.22,0.0986798
AR526,3.76,0.09391849999999999
AR527,3.76,0.09588239999999999
AR528,2.3,0.104922
AR529,2.3,0.104922
AR530,2.3,0.08419700000000001
AR531,2.3,0.0938902
AR532,3.76,0.09613769999999999
AR533,2.3,0.102805
AR534,3.76,0.0983456
AR535,3.76,0.0939194
AR536,3.76,0.0916671
AR537,2.3,0.096097
AR538,2.3,0.0771648
AR539,5.22,0.0887408
AR540,2.3,0.0839824
AR541,5.22,0.0910505
AR542,2.3,0.0772423
AR543,4.76,0.0661433
AR544,2.3,0.0936623
AR545,2.3,0.09001310000000001
AR547,2.3,0.102655
AR548,2.3,0.11152100000000001
AR549,0.75,0.12094300000000001
AR550,5.22,0.100588
AR551,3.67,0.054499900000000004
AR552,6.22,0.10956800000000001
AR553,5.22,0.112621
AR555,6.22,0.10689000000000001
AR556,5.22,0.09653189999999999
AR557,0.75,0.142644
AR558,0.75,0.11800699999999999
AR559,0.75,0.144343
AR560,2.3,0.1849
AR561,2.3,0.1849
AR562,2.3,0.211073
AR563,6.22,0.11421600000000001
AR564,5.22,0.113704
AR565,3.76,0.14416400000000001
AR567,5.22,0.155815
AR568,3.67,0.062392899999999994
AR569,3.76,0.09451210000000002
AR570,5.22,0.13680699999999998
AR571,5.22,0.0901275
AR572,5.22,0.101489
AR573,3.67,0.0763263
AR574,2.3,0.20721900000000001
AR575,2.3,0.20721900000000001
AR576,2.3,0.178323
AR577,2.3,0.178323
AR580,3.67,0.055735599999999996
AR581,3.67,0.0511457
AR582,4.76,0.07648239999999999
AR583,3.67,0.07788110000000001
AR584,-0.8,0.0423735
AR585,3.76,0.07832819999999999
AR586,3.67,0.0827696
AR587,-9.44,0.128063
AR590,2.21,0.058193499999999995
AR591,2.21,0.029890800000000002
AR592,0.75,0.0750866
AR593,2.3,0.069252
AR594,2.3,0.135229
AR595,-9.44,0.107893
AR596,3.67,0.054499900000000004
AR597,3.67,0.054499900000000004
AR598,2.3,0.22406199999999998
AR599,5.22,0.107109
AR600,2.3,0.079427
AR601,5.22,0.08722310000000001
AR602,2.3,0.086385
AR603,2.3,0.0942738
AR604,3.21,0.00114554
AR605,2.3,0.146464
AR606,3.76,0.25951399999999997
AR607,3.76,0.25951399999999997
AR608,6.22,0.236594
AR609,5.22,0.16145299999999999
AR610,2.3,0.0771114
AR611,3.76,0.265006
AR612,2.3,0.292585
AR613,2.3,0.07719010000000001
AR614,2.3,0.08641130000000001
AR615,2.3,0.174236
AR616,5.22,0.11340599999999999
AR617,3.76,0.09047739999999999
AR619,2.3,0.178296
AR620,2.21,0.08626569999999999
AR622,2.3,0.0917379
AR623,2.3,0.10922
AR628,2.3,0.10026499999999999
AR629,2.3,0.09737269999999999
AR631,2.3,0.15393900000000002
AR632,2.3,0.0942858
AR634,2.3,0.08827239999999999
AR635,0.75,0.033190199999999996
AR636,5.22,0.111302
AR637,2.3,0.102702
AR638,2.3,0.102702
AR639,2.3,0.08827239999999999
AR641,5.22,0.120582
AR642,0.75,0.139745
AR644,2.3,0.172324
AR645,2.3,0.11346800000000001
AR646,3.67,0.0415641
AR647,2.3,0.156377
AR648,2.21,0.0769906
AR649,2.21,0.0962115
AR650,3.67,0.004154
AR651,3.76,0.0923132
AR652,3.76,0.07919630000000001
AR653,3.67,0.0901586
AR654,2.3,0.103996
AR655,3.76,0.09211289999999998
AR656,-2.0,0.7874140000000001
AR657,0.75,0.0905971
AR658,5.22,0.0880808
AR660,3.67,0.00805136
AR661,3.76,0.040055
AR662,3.76,0.10336500000000001
AR663,2.3,0.163737
AR664,3.76,0.128397
AR665,6.22,0.075904
AR666,3.76,0.110804
AR669,2.3,0.173973
AR670,6.22,0.0720361
AR672,3.76,0.0782683
AR673,0.75,0.0922352
AR677,2.3,0.119341
AR678,4.76,0.07648239999999999
AR679,2.3,0.16755
AR680,5.22,0.08856289999999999
AR681,5.22,0.08856289999999999
AR682,5.22,0.0886181
AR683,2.3,0.0884924
AR684,2.3,0.0896134
AR685,3.76,0.0938696
AR686,2.3,0.13538699999999998
AR687,2.3,0.13538699999999998
AR690,3.76,0.0912224
AR694,2.21,0.06075930000000001
AR695,0.75,0.10082999999999999
AR696,0.75,0.11311600000000001
AR697,3.76,0.111988
AR699,5.22,0.16145299999999999
AR700,3.76,0.25951399999999997
AR701,3.76,0.25951399999999997
AR702,6.22,0.236594
AR704,3.76,0.102211
AR705,2.3,0.13704000000000002
AR707,-0.75,0.139951
AR708,2.0,0.179279
AR709,-2.3,0.156583
AR710,-2.21,0.07719680000000001
AR711,-2.3,0.17253
AR712,-5.22,0.120788
AR713,-3.76,0.0925193
AR714,-2.21,0.0964176
AR715,-3.76,0.07940239999999998
AR716,2.0,0.78762
AR717,-3.67,0.09036469999999999
AR718,-3.67,0.00394788
AR719,-2.3,0.104202
AR720,-0.75,0.0908033
AR721,-5.22,0.08828689999999999
AR722,-3.67,0.00825748
AR723,-3.76,0.0402612
AR724,-3.76,0.10357100000000001
AR725,-3.21,0.0009394160000000001
AR726,-2.3,0.14667
AR727,-2.3,0.163943
AR728,-3.76,0.128603
AR729,-6.22,0.07611010000000001
AR730,-3.76,0.11101
AR731,-3.76,0.09231900000000001
AR732,-6.22,0.0722422
AR734,-2.3,0.174179
AR740,-5.22,0.0887691
AR741,-5.22,0.0887691
AR742,-5.22,0.08882419999999999
AR743,-2.3,0.119547
AR744,-2.3,0.13559300000000002
AR745,-2.3,0.13559300000000002
AR746,-4.76,0.07668849999999999
AR747,-2.3,0.167756
AR750,-3.76,0.0914285
AR755,-2.21,0.0609654
AR756,-0.75,0.101036
AR757,-0.75,0.113322
AR759,-3.67,0.09002669999999999
AR760,-3.67,0.0902052
AR761,-5.22,0.161659
AR762,-3.76,0.25972
AR763,-3.76,0.25972
AR764,-6.22,0.236801
AR765,-2.3,0.113674
AR775,-3.76,0.112195
AR776,-3.76,0.09007029999999999
AR777,-0.75,0.00378269
AR778,-0.75,0.00380264
AR779,-3.76,0.10433599999999998
AR780,-3.76,0.108123
AR782,-2.3,0.129797
AR783,-2.3,0.11374000000000001
AR786,-2.3,0.140784
AR787,-2.3,0.0940811
AR788,-3.67,0.0417702
AR790,-5.22,0.161659
AR791,-3.76,0.25972
AR792,-3.76,0.25972
AR793,-6.22,0.236801
AR794,-3.76,0.19389800000000001
AR795,-3.76,0.19389800000000001
AR796,-2.21,0.07873430000000001
AR797,-2.3,0.09630599999999999
AR798,-2.21,0.0689892
AR799,-2.21,0.0690061
AR800,-3.67,0.0749522
AR801,-3.67,0.0252763
AR802,-3.67,0.09036469999999999
AR803,-2.21,0.0786358
AR804,-3.76,0.07847439999999999
AR805,6.08,0.0433376
AR806,-0.75,0.0924413
AR807,-2.3,0.0865605
AR808,-2.3,0.0625831
AR809,-4.76,0.06634939999999999
AR810,-2.3,0.09031900000000001
AR811,-2.3,0.0903012
AR812,-2.3,0.0750123
AR813,-2.3,0.06370980000000001
AR814,-2.3,0.0844012
AR815,-2.3,0.0773668
AR816,-2.3,0.09025019999999999
AR817,-2.3,0.101137
AR818,-2.3,0.0841886
AR819,-2.3,0.08217460000000001
