,rn,iteration
636,"('R05140', 'forward')",1
637,"('R07479', 'reverse')",1
638,"('R10555', 'reverse')",1
639,"('R02059', 'forward')",1
640,"('R07261', 'reverse')",1
641,"('R04478', 'forward')",1
642,"('R07316', 'forward')",1
643,"('R02556', 'forward')",1
644,"('R00397', 'reverse')",1
645,"('R07917', 'reverse')",1
646,"('R00584', 'forward')",1
647,"('R00308', 'reverse')",1
648,"('R09959', 'reverse')",1
649,"('R00239', 'reverse')",1
650,"('R00554', 'reverse')",1
651,"('R01234', 'reverse')",1
652,"('R10010', 'reverse')",1
653,"('R05805', 'forward')",1
654,"('R03240', 'forward')",1
655,"('R03537', 'forward')",1
656,"('R09771', 'reverse')",1
657,"('R01126', 'reverse')",1
658,"('R02147', 'forward')",1
659,"('R00810', 'forward')",1
660,"('R02821', 'reverse')",1
661,"('R00269', 'forward')",1
662,"('R01072', 'forward')",1
663,"('R03504', 'forward')",1
664,"('R00380', 'reverse')",1
665,"('R01748', 'reverse')",1
666,"('R09084', 'reverse')",1
667,"('R09009', 'forward')",1
668,"('R00484', 'forward')",1
669,"('R00949', 'forward')",1
670,"('R10616', 'reverse')",1
671,"('R01287', 'forward')",1
672,"('R03802', 'forward')",1
673,"('R00766', 'reverse')",1
674,"('R00525', 'reverse')",1
675,"('R01070', 'forward')",1
676,"('R09374', 'forward')",1
677,"('R01516', 'reverse')",1
678,"('R02922', 'forward')",1
679,"('R04858', 'reverse')",1
680,"('R02750', 'forward')",1
681,"('R01483', 'reverse')",1
682,"('R03693', 'forward')",1
683,"('R01718', 'reverse')",1
684,"('R01555', 'forward')",1
685,"('R03635', 'forward')",1
686,"('R00089', 'reverse')",1
687,"('R01082', 'forward')",1
688,"('R03032', 'reverse')",1
689,"('R01081', 'forward')",1
690,"('R00289', 'forward')",1
691,"('R08632', 'forward')",1
692,"('R00327', 'forward')",1
693,"('R02602', 'reverse')",1
694,"('R02754', 'forward')",1
695,"('R01540', 'forward')",1
696,"('R04639', 'forward')",1
697,"('R03271', 'reverse')",1
698,"('R10342', 'reverse')",1
699,"('R01993', 'forward')",1
700,"('R02557', 'reverse')",1
701,"('R07393', 'reverse')",1
702,"('R09082', 'forward')",1
703,"('R00208', 'forward')",1
704,"('R00822', 'forward')",1
705,"('R02707', 'forward')",1
706,"('R09752', 'forward')",1
707,"('R01071', 'reverse')",1
708,"('R07243', 'forward')",1
709,"('R02296', 'reverse')",1
710,"('R00304', 'reverse')",1
711,"('R01611', 'reverse')",1
712,"('R01649', 'reverse')",1
713,"('R00012', 'forward')",1
714,"('R03260', 'forward')",1
715,"('R07282', 'reverse')",1
716,"('R01010', 'reverse')",1
717,"('R05806', 'forward')",1
718,"('R02145', 'reverse')",1
719,"('R02865', 'reverse')",1
720,"('R00763', 'forward')",1
721,"('R10837', 'reverse')",1
722,"('R05465', 'reverse')",1
723,"('R01905', 'forward')",1
724,"('R00307', 'forward')",1
725,"('R06870', 'reverse')",1
726,"('R09941', 'forward')",1
727,"('R00424', 'reverse')",1
728,"('R01127', 'reverse')",1
729,"('R00268', 'forward')",1
730,"('R00503', 'reverse')",1
731,"('R00511', 'reverse')",1
732,"('R00568', 'reverse')",1
733,"('R00024', 'forward')",1
734,"('R09717', 'reverse')",1
735,"('R04779', 'reverse')",1
736,"('R00771', 'reverse')",1
737,"('R00661', 'reverse')",1
738,"('R00947', 'forward')",1
739,"('R09531', 'forward')",1
740,"('R07244', 'reverse')",1
741,"('R05605', 'reverse')",1
742,"('R02410', 'forward')",1
743,"('R05636', 'reverse')",1
744,"('R00959', 'forward')",1
745,"('R02526', 'reverse')",1
746,"('R02320', 'reverse')",1
747,"('R00960', 'reverse')",1
748,"('R09943', 'forward')",1
749,"('R02730', 'reverse')",1
750,"('R00463', 'reverse')",1
751,"('R00337', 'reverse')",1
752,"('R01562', 'forward')",1
753,"('R01541', 'forward')",1
754,"('R00995', 'reverse')",1
755,"('R04343', 'forward')",1
756,"('R01519', 'forward')",1
757,"('R02284', 'forward')",1
758,"('R05796', 'forward')",1
759,"('R10050', 'reverse')",1
760,"('R01091', 'forward')",1
761,"('R02037', 'reverse')",1
762,"('R09718', 'reverse')",1
763,"('R01845', 'reverse')",1
764,"('R02097', 'reverse')",1
765,"('R10060', 'forward')",1
766,"('R01385', 'forward')",1
767,"('R05380', 'forward')",1
768,"('R10462', 'forward')",1
769,"('R10836', 'forward')",1
770,"('R01394', 'forward')",1
771,"('R02889', 'reverse')",1
772,"('R10486', 'reverse')",1
773,"('R02329', 'forward')",1
774,"('R02297', 'reverse')",1
775,"('R01620', 'reverse')",1
776,"('R09650', 'reverse')",1
777,"('R01286', 'reverse')",1
778,"('R00217', 'forward')",1
779,"('R00440', 'reverse')",1
780,"('R02751', 'reverse')",1
781,"('R09660', 'reverse')",1
782,"('R01504', 'reverse')",1
783,"('R00022', 'reverse')",1
784,"('R00967', 'forward')",1
785,"('R01052', 'forward')",1
786,"('R01811', 'reverse')",1
787,"('R01001', 'reverse')",1
788,"('R01898', 'forward')",1
789,"('R02088', 'forward')",1
790,"('R06789', 'reverse')",1
791,"('R00224', 'forward')",1
792,"('R01983', 'forward')",1
793,"('R05046', 'forward')",1
794,"('R01660', 'forward')",1
795,"('R01761', 'forward')",1
796,"('R00179', 'forward')",1
797,"('R00451', 'reverse')",1
798,"('R01821', 'forward')",1
799,"('R00377', 'reverse')",1
800,"('R03801', 'forward')",1
801,"('R00150', 'forward')",1
802,"('R07285', 'reverse')",1
803,"('R04277', 'forward')",1
804,"('R02664', 'reverse')",1
805,"('R01283', 'forward')",1
806,"('R05767', 'forward')",1
807,"('R02071', 'reverse')",1
808,"('R00802', 'forward')",1
809,"('R01621', 'forward')",1
810,"('R02327', 'reverse')",1
811,"('R03034', 'forward')",1
812,"('R02111', 'forward')",1
813,"('R01324', 'forward')",1
814,"('R00262', 'reverse')",1
815,"('R09769', 'forward')",1
816,"('R00039', 'reverse')",1
817,"('R00782', 'reverse')",1
818,"('R02728', 'reverse')",1
819,"('R03122', 'reverse')",1
820,"('R01014', 'reverse')",1
821,"('R03351', 'forward')",1
822,"('R02508', 'reverse')",1
823,"('R07300', 'forward')",1
824,"('R09801', 'reverse')",1
825,"('R05606', 'reverse')",1
826,"('R05166', 'forward')",1
827,"('R00838', 'reverse')",1
828,"('R04286', 'forward')",1
829,"('R00470', 'forward')",1
830,"('R01843', 'reverse')",1
831,"('R02484', 'reverse')",1
832,"('R00650', 'forward')",1
833,"('R10622', 'forward')",1
834,"('R08359', 'forward')",1
835,"('R01627', 'reverse')",1
836,"('R00376', 'forward')",1
837,"('R00435', 'reverse')",1
838,"('R01105', 'reverse')",1
839,"('R00657', 'forward')",1
840,"('R07281', 'reverse')",1
841,"('R01965', 'reverse')",1
842,"('R00654', 'reverse')",1
843,"('R05850', 'reverse')",1
844,"('R01086', 'forward')",1
845,"('R02060', 'forward')",1
846,"('R02109', 'reverse')",1
