,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
300,R00475,-88.25556359005346
301,R00477,17.7044479548712
302,R00478,3.5243470844236384
303,R00479,9.519832192639555
304,R00480,22.274273316339645
305,R00481,-71.20493264680167
306,R00482,-9.964764436467249
307,R00483,-20.118091151518172
308,R00484,-33.65617200098353
309,R00485,-17.400434311436527
310,R00486,70.6848486238739
311,R00487,-20.465867886930255
312,R00488,-11.649986946773652
313,R00489,-19.787410219752132
314,R00490,13.197966369162486
315,R00491,5.18465557415152
316,R00494,-1.8268897302534128
317,R00497,-28.447207746991126
318,R00499,-31.96430779332843
319,R00501,-23.301028833181135
320,R00502,-2.5253583449019743
321,R00503,-10.877455307782839
322,R00504,216.78309842522913
323,R00505,1.068022726277377
324,R00507,-88.52318548830151
325,R00508,-12.521170983636239
326,R00509,-14.844027764267537
327,R00510,-9.385822360739844
328,R00511,-14.200677195833464
329,R00512,1.3079001512007835
330,R00513,-13.164521552070596
331,R00514,-28.67309889910564
332,R00515,-39.28476955588394
333,R00516,-13.369766264523037
334,R00517,-10.361464509039251
335,R00518,-15.434021785175958
336,R00519,-14.21432653113817
337,R00521,-6.564360109095425
338,R00522,-16.628901954309306
339,R00524,-29.360519512624116
340,R00525,-32.817143924177095
341,R00526,-31.14414849994987
342,R00527,-5.7101243619364155
343,R00529,46.53134214916673
344,R00530,56.87920362680347
345,R00531,-84.04986761212187
346,R00532,139.71960509227316
347,R00533,-172.40181436316072
348,R00534,163.54420454921433
349,R00535,-284.4327338983828
350,R00536,-287.2492832656683
351,R00537,-287.24928326566794
352,R00548,-17.324380333706358
353,R00549,-10.040818414197815
354,R00550,0.4888729710247617
355,R00551,-33.93486541904858
356,R00552,-37.14214515842269
357,R00554,8.42451028547896
358,R00557,-1257.3834248241596
359,R00558,6.548242556205082
360,R00559,-445.5899045163027
361,R00562,31.405759277552363
362,R00563,14.677186136531077
363,R00565,-0.472630979787823
364,R00566,-4.891590753892267
365,R00567,18.033805210869957
366,R00568,-23.05340456781073
367,R00569,-27.629007927046246
368,R00570,0.26380917914195834
369,R00571,-4.311794180093898
370,R00572,27.3195141791648
371,R00573,-18.56030134003538
372,R00574,-3.5381381173794466
373,R00575,-7.927638109529553
374,R00576,-11.21778289258279
375,R00578,-34.36659831146062
376,R00579,6.22826185309782
377,R00581,40.73940704409419
378,R00582,-10.57782815834355
379,R00584,-6.439509111923883
380,R00585,4.078836996520792
381,R00586,-6.282000053649881
382,R00588,-4.27561409044354
383,R00589,-1.4129946855470052
384,R00590,-6.0166923925513345
385,R00602,-290.7463901993829
386,R00603,-83.10800743049622
387,R00604,-45.84022070546402
388,R00605,33.57336002257631
389,R00608,-98.85021504725924
390,R00610,-70.47066073611842
391,R00612,-64.46956077662549
